samples	length	total_targets	total_size	recover_samples	coassembly
SRR6873777,SRR6873780	2	2437	43282643700	SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873785,SRR6873786,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877513,SRR6877515,SRR6877516,SRR6877520	coassembly_18
SRR6869045,SRR6869054	2	2263	35214339900	SRR6854575,SRR6854603,SRR6854605,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6869387,SRR6877514,SRR6877515,SRR6877517,SRR6877521	coassembly_19
SRR6854582,SRR6854603	2	2252	42915727500	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854584,SRR6854587,SRR6854589,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_20
SRR6869044,SRR6869049	2	2218	33139382700	SRR6854575,SRR6854581,SRR6854602,SRR6854603,SRR6854605,SRR6854607,SRR6869044,SRR6869045,SRR6869046,SRR6869047,SRR6869048,SRR6869049,SRR6869050,SRR6869051,SRR6869052,SRR6869053,SRR6869054,SRR6869055,SRR6877506,SRR6877521	coassembly_21
SRR6854587,SRR6854589	2	2068	39698216100	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854580,SRR6854582,SRR6854583,SRR6854585,SRR6854586,SRR6854587,SRR6854588,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_22
SRR6873781,SRR6873782	2	1899	47933678700	SRR6873775,SRR6873776,SRR6873777,SRR6873778,SRR6873779,SRR6873780,SRR6873781,SRR6873782,SRR6873783,SRR6873784,SRR6873786,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877513,SRR6877514,SRR6877515,SRR6877517,SRR6877520	coassembly_23
SRR6877511,SRR6877513,SRR6877516	3	1665	49039585800	SRR6873775,SRR6873776,SRR6873778,SRR6873779,SRR6873780,SRR6873782,SRR6873783,SRR6877506,SRR6877507,SRR6877508,SRR6877509,SRR6877510,SRR6877511,SRR6877512,SRR6877513,SRR6877514,SRR6877515,SRR6877516,SRR6877517,SRR6877520	coassembly_24
SRR6869398,SRR6869399	2	1642	49092186600	SRR6869023,SRR6869034,SRR6869387,SRR6869388,SRR6869389,SRR6869391,SRR6869392,SRR6869393,SRR6869395,SRR6869396,SRR6869397,SRR6869398,SRR6869399,SRR6873775,SRR6873781,SRR6873786,SRR6877520,SRR6907236,SRR6907237,SRR6907238	coassembly_25
SRR6854583,SRR6854604	2	1613	35585519400	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854581,SRR6854582,SRR6854583,SRR6854587,SRR6854589,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_26
SRR6869391,SRR6869393	2	1521	47212650300	SRR6854602,SRR6854605,SRR6869023,SRR6869041,SRR6869387,SRR6869388,SRR6869389,SRR6869390,SRR6869391,SRR6869392,SRR6869393,SRR6869394,SRR6869395,SRR6869396,SRR6869397,SRR6869398,SRR6869399,SRR6873781,SRR6907236,SRR6907237	coassembly_27
SRR6854578,SRR6854580	2	1189	20908194900	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854578,SRR6854579,SRR6854580,SRR6854582,SRR6854583,SRR6854584,SRR6854587,SRR6854589,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6877521	coassembly_28
SRR6869387,SRR6869389	2	1161	41145113100	SRR6854571,SRR6854572,SRR6854573,SRR6854576,SRR6854577,SRR6854580,SRR6854583,SRR6854587,SRR6854589,SRR6854590,SRR6854602,SRR6854603,SRR6854604,SRR6854605,SRR6854606,SRR6854607,SRR6869387,SRR6869388,SRR6869389,SRR6877521	coassembly_29
