sci_name	parent_name	superparent_name
microbialite metagenome	ecological metagenomes	metagenomes
leaf litter metagenome	ecological metagenomes	metagenomes
marine plankton metagenome	ecological metagenomes	metagenomes
fishing equipment metagenome	ecological metagenomes	metagenomes
metal metagenome	ecological metagenomes	metagenomes
salt pan metagenome	ecological metagenomes	metagenomes
glacier forefield metagenome	ecological metagenomes	metagenomes
floral nectar metagenome	ecological metagenomes	metagenomes
pitcher plant inquiline metagenome	ecological metagenomes	metagenomes
Winogradsky column metagenome	ecological metagenomes	metagenomes
permafrost metagenome	ecological metagenomes	metagenomes
cave metagenome	ecological metagenomes	metagenomes
wine metagenome	ecological metagenomes	metagenomes
rhizosphere metagenome	ecological metagenomes	metagenomes
salt lake metagenome	ecological metagenomes	metagenomes
industrial waste metagenome	ecological metagenomes	metagenomes
cenote metagenome	ecological metagenomes	metagenomes
tannin metagenome	ecological metagenomes	metagenomes
ivory metagenome	ecological metagenomes	metagenomes
probiotic metagenome	ecological metagenomes	metagenomes
painting metagenome	ecological metagenomes	metagenomes
sediment metagenome	ecological metagenomes	metagenomes
spider web metagenome	ecological metagenomes	metagenomes
ore metagenome	ecological metagenomes	metagenomes
biogas fermenter metagenome	ecological metagenomes	metagenomes
whale fall metagenome	ecological metagenomes	metagenomes
membrane metagenome	ecological metagenomes	metagenomes
soda lime metagenome	ecological metagenomes	metagenomes
phytotelma metagenome	ecological metagenomes	metagenomes
glacier metagenome	ecological metagenomes	metagenomes
honey metagenome	ecological metagenomes	metagenomes
chemical production metagenome	ecological metagenomes	metagenomes
aqua crust metagenome	ecological metagenomes	metagenomes
biofilm metagenome	ecological metagenomes	metagenomes
halite metagenome	ecological metagenomes	metagenomes
winery metagenome	ecological metagenomes	metagenomes
clay metagenome	ecological metagenomes	metagenomes
lichen crust metagenome	ecological metagenomes	metagenomes
runoff metagenome	ecological metagenomes	metagenomes
hydrocarbon metagenome	ecological metagenomes	metagenomes
shale fluid metagenome	ecological metagenomes	metagenomes
oil field metagenome	ecological metagenomes	metagenomes
bioleaching metagenome	ecological metagenomes	metagenomes
factory metagenome	ecological metagenomes	metagenomes
herbal medicine metagenome	ecological metagenomes	metagenomes
tar pit metagenome	ecological metagenomes	metagenomes
wetland metagenome	ecological metagenomes	metagenomes
aquaculture metagenome	ecological metagenomes	metagenomes
aquarium metagenome	ecological metagenomes	metagenomes
bentonite metagenome	ecological metagenomes	metagenomes
anchialine metagenome	ecological metagenomes	metagenomes
egg metagenome	ecological metagenomes	metagenomes
mangrove metagenome	ecological metagenomes	metagenomes
power plant metagenome	ecological metagenomes	metagenomes
dietary supplements metagenome	ecological metagenomes	metagenomes
outdoor metagenome	ecological metagenomes	metagenomes
meat metagenome	ecological metagenomes	metagenomes
mixed culture metagenome	ecological metagenomes	metagenomes
tomb metagenome	ecological metagenomes	metagenomes
biofouling metagenome	ecological metagenomes	metagenomes
salt mine metagenome	ecological metagenomes	metagenomes
manure metagenome	ecological metagenomes	metagenomes
periphyton metagenome	ecological metagenomes	metagenomes
poultry litter metagenome	ecological metagenomes	metagenomes
sand metagenome	ecological metagenomes	metagenomes
adhesive metagenome	ecological metagenomes	metagenomes
peat metagenome	ecological metagenomes	metagenomes
seawater metagenome	ecological metagenomes	metagenomes
coral reef metagenome	ecological metagenomes	metagenomes
biochar metagenome	ecological metagenomes	metagenomes
shale gas metagenome	ecological metagenomes	metagenomes
lake water metagenome	ecological metagenomes	metagenomes
biocathode metagenome	ecological metagenomes	metagenomes
dust metagenome	ecological metagenomes	metagenomes
hydrothermal vent metagenome	ecological metagenomes	metagenomes
alkali sediment metagenome	ecological metagenomes	metagenomes
hospital metagenome	ecological metagenomes	metagenomes
riverine metagenome	ecological metagenomes	metagenomes
wood decay metagenome	ecological metagenomes	metagenomes
brine metagenome	ecological metagenomes	metagenomes
drinking water metagenome	ecological metagenomes	metagenomes
ice metagenome	ecological metagenomes	metagenomes
freshwater sediment metagenome	ecological metagenomes	metagenomes
hot springs metagenome	ecological metagenomes	metagenomes
tidal flat metagenome	ecological metagenomes	metagenomes
shell metagenome	ecological metagenomes	metagenomes
glacier lake metagenome	ecological metagenomes	metagenomes
osmosis membrane metagenome	ecological metagenomes	metagenomes
aquatic metagenome	ecological metagenomes	metagenomes
food fermentation metagenome	ecological metagenomes	metagenomes
flotsam metagenome	ecological metagenomes	metagenomes
landfill metagenome	ecological metagenomes	metagenomes
tin mine metagenome	ecological metagenomes	metagenomes
money metagenome	ecological metagenomes	metagenomes
fairy ring metagenome	ecological metagenomes	metagenomes
freshwater metagenome	ecological metagenomes	metagenomes
hypolithon metagenome	ecological metagenomes	metagenomes
nutrient bag metagenome	ecological metagenomes	metagenomes
mine metagenome	ecological metagenomes	metagenomes
bioreactor sludge metagenome	ecological metagenomes	metagenomes
retting metagenome	ecological metagenomes	metagenomes
marsh metagenome	ecological metagenomes	metagenomes
cloud metagenome	ecological metagenomes	metagenomes
grassland metagenome	ecological metagenomes	metagenomes
terrestrial metagenome	ecological metagenomes	metagenomes
plastic metagenome	ecological metagenomes	metagenomes
marine sediment metagenome	ecological metagenomes	metagenomes
karst metagenome	ecological metagenomes	metagenomes
gas scrubber metagenome	ecological metagenomes	metagenomes
pipeline metagenome	ecological metagenomes	metagenomes
ballast water metagenome	ecological metagenomes	metagenomes
indoor metagenome	ecological metagenomes	metagenomes
wood metagenome	ecological metagenomes	metagenomes
biocrust metagenome	ecological metagenomes	metagenomes
plastisphere metagenome	ecological metagenomes	metagenomes
oasis metagenome	ecological metagenomes	metagenomes
microbial mat metagenome	ecological metagenomes	metagenomes
rock metagenome	ecological metagenomes	metagenomes
fertilizer metagenome	ecological metagenomes	metagenomes
healthcare waste metagneome	ecological metagenomes	metagenomes
abattoir metagenome	ecological metagenomes	metagenomes
biosolids metagenome	ecological metagenomes	metagenomes
microwave metagenome	ecological metagenomes	metagenomes
wastewater metagenome	ecological metagenomes	metagenomes
meiofauna metagenome	ecological metagenomes	metagenomes
medical device metagenome	ecological metagenomes	metagenomes
